Artist, Song, Date/Time
The Guess Who,These Eyes
Maestro Fresh Wes,Let Your Backbone Slide,19/11/2020 20:16:04
Genesis,Follow You Follow Me,19/11/2020 20:20:09
Genesis,Follow You Follow Me,19/11/2020 20:21:56
Genesis,Follow You Follow Me,19/11/2020 20:22:06
Genesis,Follow You Follow Me,19/11/2020 20:26:00
Genesis,Follow You Follow Me,19/11/2020 20:27:55
Men Without Hats,Pop Goes The World,19/11/2020 20:31:59
Men Without Hats,Pop Goes The World,19/11/2020 20:32:54
Guns N' Roses,Knocking On Heaven's Door,19/11/2020 20:33:59
Guns N' Roses,Knocking On Heaven's Door,19/11/2020 20:35:11
Guns N' Roses,Knocking On Heaven's Door,19/11/2020 20:36:02
Guns N' Roses,Knocking On Heaven's Door,19/11/2020 20:36:04
Guns N' Roses,Knocking On Heaven's Door,19/11/2020 20:36:48
Tom Cochrane           /           Red Rider,Human Race,19/11/2020 20:54:22
